0, 0, 32
1, 0, 35
2, 0, 76
3, 1, 14
4, 1, 48
5, 1, 54
6, 1, 59
7, 1, 68
8, 1, 71
9, 2, 32
10, 2, 44
11, 2, 62
12, 2, 76
13, 3, 2
14, 3, 32
15, 3, 76
16, 4, 22
17, 4, 23
18, 4, 32
19, 4, 35
20, 4, 38
21, 5, 2
22, 5, 14
23, 5, 43
24, 5, 65
25, 5, 67
26, 6, 32
27, 6, 35
28, 7, 14
29, 7, 43
30, 8, 48
31, 8, 53
32, 8, 54
33, 8, 67
34, 8, 68
35, 8, 71
36, 9, 3
37, 9, 32
38, 9, 51
39, 9, 76
40, 10, 53
41, 10, 57
42, 10, 67
43, 10, 71
44, 11, 14
45, 11, 43
46, 11, 59
47, 11, 67
48, 12, 34
49, 12, 43
50, 12, 49
51, 12, 59
52, 12, 62
53, 12, 67
54, 13, 48
55, 13, 53
56, 13, 57
57, 13, 71
58, 14, 7
59, 14, 43
60, 14, 49
61, 14, 57
62, 14, 59
63, 14, 62
64, 14, 71
65, 15, 29
66, 15, 32
67, 15, 54
68, 15, 77
69, 16, 76
70, 17, 4
71, 17, 32
72, 17, 35
73, 17, 53
74, 17, 55
75, 17, 57
76, 17, 67
77, 17, 77
78, 18, 29
79, 18, 53
80, 18, 57
81, 18, 71
82, 19, 14
83, 20, 7
84, 20, 43
85, 20, 57
86, 20, 59
87, 21, 33
88, 21, 35
89, 21, 38
90, 21, 55
91, 22, 17
92, 22, 4
93, 22, 23
94, 22, 32
95, 22, 53
96, 22, 55
97, 22, 57
98, 23, 4
99, 23, 15
100, 23, 32
101, 23, 35
102, 23, 38
103, 23, 53
104, 23, 77
105, 24, 11
106, 24, 14
107, 24, 7
108, 24, 43
109, 24, 59
110, 24, 67
111, 26, 16
112, 26, 38
113, 26, 51
114, 26, 62
115, 26, 76
116, 27, 36
117, 27, 48
118, 27, 55
119, 27, 57
120, 27, 59
121, 28, 4
122, 28, 22
123, 28, 23
124, 28, 32
125, 28, 35
126, 28, 48
127, 28, 53
128, 28, 55
129, 28, 77
130, 29, 23
131, 29, 32
132, 29, 54
133, 30, 23
134, 30, 32
135, 30, 35
136, 30, 76
137, 31, 7
138, 31, 49
139, 31, 59
140, 31, 71
141, 32, 23
142, 33, 32
143, 33, 4
144, 33, 30
145, 33, 62
146, 34, 14
147, 34, 7
148, 34, 43
149, 34, 57
150, 34, 59
151, 34, 63
152, 34, 67
153, 35, 32
154, 35, 4
155, 35, 22
156, 35, 23
157, 36, 14
158, 36, 43
159, 36, 49
160, 36, 53
161, 36, 57
162, 36, 59
163, 36, 62
164, 36, 67
165, 37, 32
166, 37, 35
167, 37, 9
168, 37, 16
169, 37, 30
170, 37, 38
171, 37, 44
172, 37, 62
173, 37, 76
174, 38, 32
175, 38, 35
176, 38, 37
177, 38, 30
178, 38, 51
179, 38, 62
180, 38, 76
181, 39, 30
182, 39, 38
183, 39, 23
184, 39, 55
185, 39, 76
186, 40, 32
187, 40, 38
188, 40, 51
189, 40, 63
190, 40, 74
191, 40, 76
192, 41, 32
193, 41, 35
194, 41, 30
195, 41, 51
196, 42, 32
197, 42, 4
198, 42, 38
199, 42, 23
200, 42, 30
201, 43, 20
202, 43, 54
203, 43, 55
204, 43, 57
205, 43, 59
206, 43, 62
207, 44, 40
208, 44, 2
209, 44, 3
210, 44, 38
211, 44, 63
212, 44, 72
213, 44, 76
214, 45, 32
215, 45, 35
216, 45, 38
217, 46, 48
218, 47, 17
219, 47, 29
220, 47, 57
221, 47, 67
222, 48, 32
223, 48, 4
224, 48, 45
225, 48, 53
226, 48, 55
227, 48, 57
228, 49, 34
229, 49, 43
230, 49, 44
231, 49, 59
232, 49, 62
233, 49, 67
234, 50, 49
235, 50, 34
236, 50, 43
237, 50, 14
238, 50, 59
239, 50, 62
240, 50, 63
241, 50, 67
242, 51, 32
243, 51, 33
244, 51, 38
245, 51, 62
246, 51, 63
247, 51, 76
248, 52, 57
249, 52, 67
250, 52, 70
251, 52, 71
252, 53, 48
253, 53, 57
254, 53, 67
255, 53, 71
256, 54, 32
257, 54, 35
258, 54, 4
259, 54, 15
260, 54, 53
261, 54, 23
262, 54, 29
263, 54, 77
264, 55, 48
265, 55, 10
266, 55, 53
267, 55, 57
268, 55, 71
269, 56, 1
270, 56, 53
271, 56, 71
272, 57, 48
273, 57, 53
274, 57, 70
275, 57, 71
276, 58, 49
277, 58, 53
278, 58, 71
279, 59, 18
280, 59, 43
281, 59, 47
282, 59, 71
283, 60, 32
284, 60, 33
285, 60, 38
286, 60, 63
287, 61, 59
288, 61, 43
289, 61, 14
290, 61, 65
291, 62, 2
292, 62, 3
293, 62, 38
294, 62, 63
295, 62, 74
296, 63, 7
297, 63, 43
298, 63, 49
299, 63, 57
300, 63, 59
301, 64, 32
302, 64, 33
303, 64, 9
304, 64, 44
305, 64, 62
306, 64, 30
307, 64, 76
308, 65, 36
309, 65, 43
310, 65, 12
311, 65, 14
312, 65, 49
313, 65, 59
314, 65, 67
315, 65, 72
316, 66, 7
317, 66, 49
318, 66, 53
319, 66, 56
320, 66, 58
321, 66, 59
322, 67, 59
323, 67, 14
324, 67, 31
325, 67, 68
326, 67, 71
327, 68, 66
328, 68, 7
329, 68, 43
330, 68, 49
331, 68, 58
332, 68, 59
333, 68, 71
334, 69, 48
335, 69, 53
336, 69, 54
337, 69, 57
338, 69, 59
339, 69, 71
340, 70, 13
341, 70, 10
342, 70, 67
343, 70, 53
344, 70, 71
345, 71, 34
346, 71, 67
347, 71, 68
348, 71, 36
349, 71, 7
350, 71, 43
351, 71, 14
352, 71, 20
353, 71, 24
354, 71, 57
355, 71, 59
356, 72, 67
357, 72, 7
358, 72, 43
359, 72, 12
360, 72, 14
361, 73, 38
362, 74, 0
363, 74, 16
364, 74, 32
365, 74, 76
366, 75, 62
367, 75, 14
368, 76, 32
369, 76, 30
370, 76, 39
371, 77, 32
372, 77, 35
373, 77, 4
374, 77, 21
