1.195292,10.679080,0.562882,0.384824
1.227837,10.699615,0.562882,0.366933
1.258819,10.719164,0.566379,0.349043
1.288080,10.737770,0.573021,0.331153
1.315497,10.755461,0.582447,0.313438
1.341160,10.772365,0.592733,0.295723
1.365071,10.788468,0.603717,0.278008
1.387239,10.803756,0.615239,0.260381
1.407786,10.818277,0.626410,0.242755
1.426743,10.831995,0.637176,0.225129
1.444142,10.844873,0.647487,0.207543
1.460047,10.856901,0.657076,0.189957
1.474487,10.868041,0.665931,0.172371
1.487491,10.878257,0.674035,0.154810
1.499096,10.887528,0.681305,0.137249
1.509326,10.895823,0.687742,0.119687
1.518201,10.903114,0.693349,0.102145
1.525745,10.909383,0.698104,0.084603
1.531971,10.914607,0.702018,0.067060
1.536893,10.918770,0.705101,0.049530
1.540521,10.921857,0.707361,0.031999
1.542861,10.923858,0.708811,0.014469
1.543919,10.924765,0.709462,-0.003060
1.543695,10.924573,0.709325,-0.020588
1.542190,10.923281,0.708409,-0.038116
1.539399,10.920890,0.706722,-0.055641
1.535318,10.917405,0.704271,-0.073166
1.529938,10.912834,0.701065,-0.090691
1.523249,10.907188,0.697112,-0.108215
1.515238,10.900479,0.692423,-0.125739
1.505888,10.892725,0.687008,-0.143263
1.495183,10.883944,0.680878,-0.157889
1.483322,10.874334,0.674154,-0.172514
1.470287,10.863919,0.666844,-0.187140
1.456061,10.852721,0.658953,-0.197075
1.440981,10.841043,0.650684,-0.207010
1.425035,10.828903,0.642041,-0.216945
1.408209,10.816322,0.633027,-0.223020
1.390786,10.803538,0.623839,-0.229094
1.372759,10.790564,0.614483,-0.235168
1.354120,10.777411,0.604962,-0.238617
1.335075,10.764243,0.595345,-0.242065
1.315623,10.751067,0.585634,-0.245513
1.295759,10.737893,0.575830,-0.247501
1.275601,10.724806,0.565974,-0.249490
1.255149,10.711812,0.556068,-0.251478
1.234401,10.698918,0.546110,-0.252540
1.213438,10.686177,0.536116,-0.253602
1.192259,10.673594,0.526084,-0.254664
1.170864,10.661170,0.516016,-0.255124
1.149310,10.648943,0.505911,-0.255584
1.127595,10.636913,0.495770,-0.256044
1.105724,10.625084,0.485593,-0.256091
1.083733,10.613479,0.475380,-0.256138
1.061625,10.602098,0.465130,-0.256186
1.039403,10.590946,0.454843,-0.255904
1.017099,10.580039,0.444508,-0.255622
0.994717,10.569379,0.434124,-0.255341
0.972259,10.558967,0.423691,-0.254684
0.949763,10.548820,0.413198,-0.254028
0.927232,10.538942,0.402645,-0.253371
0.904669,10.529332,0.392033,-0.252403
0.882107,10.520004,0.381359,-0.251434
0.859549,10.510959,0.370622,-0.250466
0.836997,10.502195,0.359825,-0.249217
0.814483,10.493726,0.348967,-0.247968
0.792008,10.485548,0.338051,-0.246719
0.769577,10.477662,0.327076,-0.245366
0.747205,10.470073,0.316031,-0.244013
0.724894,10.462777,0.304918,-0.242660
0.702650,10.455776,0.293739,-0.241701
0.680442,10.449059,0.282449,-0.240742
0.658274,10.442625,0.271050,-0.239783
0.636150,10.436477,0.259544,-0.239004
0.614058,10.430611,0.247905,-0.238225
0.592002,10.425028,0.236136,-0.237446
0.569984,10.419730,0.224236,-0.236777
0.548006,10.414718,0.212163,-0.236108
0.526071,10.409993,0.199919,-0.235439
0.504181,10.405558,0.187504,-0.234501
0.482371,10.401420,0.174908,-0.233562
0.460645,10.397580,0.162134,-0.232624
0.439006,10.394040,0.149184,-0.231430
0.417485,10.390806,0.136064,-0.230236
0.396085,10.387877,0.122777,-0.229042
0.374812,10.385251,0.109325,-0.227241
0.353734,10.382937,0.095707,-0.225441
0.332856,10.380933,0.081928,-0.223641
0.312184,10.379235,0.067992,-0.221234
0.291784,10.377847,0.053912,-0.218827
0.271661,10.376760,0.039698,-0.216420
0.251819,10.375973,0.025355,-0.213523
0.232310,10.375478,0.010914,-0.210625
0.213138,10.375269,-0.003617,-0.207727
0.194306,10.375337,-0.018228,-0.204369
0.175860,10.375673,-0.032883,-0.201011
0.157804,10.376266,-0.047571,-0.197652
0.140139,10.377108,-0.062281,-0.193907
0.122902,10.378182,-0.076975,-0.190162
0.106094,10.379479,-0.091642,-0.186416
0.089717,10.380984,-0.106270,-0.182406
0.073792,10.382683,-0.120821,-0.178396
0.058319,10.384562,-0.135286,-0.174386
0.043299,10.386606,-0.149652,-0.170215
0.028740,10.388802,-0.163887,-0.166045
0.014641,10.391132,-0.177980,-0.161875
0.001000,10.393586,-0.191919,-0.157635
-0.012181,10.396148,-0.205681,-0.153396
-0.024906,10.398803,-0.219254,-0.149156
-0.037178,10.401537,-0.232628,-0.144862
-0.048995,10.404337,-0.245792,-0.140568
-0.060361,10.407188,-0.258733,-0.136275
-0.071279,10.410078,-0.271440,-0.131710
-0.081723,10.412984,-0.283909,-0.127146
-0.091696,10.415895,-0.296125,-0.122582
-0.101206,10.418796,-0.308074,-0.117758
-0.110237,10.421670,-0.319724,-0.112934
-0.118796,10.424503,-0.331059,-0.108110
-0.126892,10.427286,-0.342063,-0.103541
-0.134580,10.430023,-0.352683,-0.098973
-0.141868,10.432706,-0.362909,-0.094405
-0.148761,10.435324,-0.372735,-0.090574
-0.155338,10.437895,-0.382189,-0.086744
-0.161601,10.440413,-0.391268,-0.082914
-0.167555,10.442869,-0.399970,-0.079727
-0.173253,10.445277,-0.408354,-0.076539
-0.178696,10.447633,-0.416417,-0.073352
-0.183888,10.449929,-0.424158,-0.070491
-0.188854,10.452171,-0.431611,-0.067630
-0.193597,10.454356,-0.438776,-0.064769
-0.198117,10.456477,-0.445651,-0.062188
-0.202438,10.458541,-0.452264,-0.059606
-0.206561,10.460545,-0.458613,-0.057024
-0.210489,10.462483,-0.464698,-0.054702
-0.214241,10.464365,-0.470545,-0.052379
-0.217820,10.466185,-0.476152,-0.050056
-0.221226,10.467941,-0.481518,-0.047976
