0, 0, 17
1, 0, 22
2, 1, 5
3, 1, 16
4, 1, 19
5, 1, 21
6, 1, 30
7, 1, 47
8, 2, 5
9, 2, 10
10, 2, 12
11, 2, 13
12, 2, 17
13, 2, 30
14, 2, 33
15, 2, 40
16, 2, 47
17, 3, 31
18, 3, 35
19, 3, 45
20, 3, 50
21, 3, 53
22, 4, 12
23, 4, 13
24, 4, 16
25, 4, 19
26, 4, 21
27, 4, 30
28, 4, 33
29, 5, 1
30, 5, 16
31, 5, 47
32, 6, 22
33, 6, 34
34, 6, 37
35, 6, 39
36, 6, 41
37, 6, 43
38, 6, 49
39, 7, 27
40, 7, 37
41, 7, 43
42, 7, 45
43, 7, 53
44, 9, 45
45, 9, 50
46, 9, 51
47, 9, 53
48, 10, 4
49, 10, 16
50, 10, 17
51, 10, 19
52, 10, 30
53, 10, 40
54, 10, 47
55, 11, 27
56, 11, 31
57, 11, 35
58, 11, 37
59, 11, 43
60, 11, 45
61, 11, 50
62, 12, 5
63, 12, 16
64, 12, 17
65, 12, 19
66, 12, 21
67, 13, 0
68, 13, 5
69, 13, 30
70, 13, 40
71, 14, 55
72, 15, 47
73, 16, 0
74, 16, 1
75, 16, 5
76, 16, 12
77, 16, 13
78, 16, 17
79, 16, 21
80, 16, 40
81, 16, 47
82, 17, 16
83, 17, 10
84, 17, 12
85, 17, 5
86, 17, 21
87, 17, 30
88, 17, 33
89, 17, 47
90, 18, 25
91, 18, 27
92, 18, 31
93, 18, 34
94, 18, 35
95, 18, 37
96, 18, 39
97, 18, 43
98, 18, 45
99, 19, 0
100, 19, 21
101, 20, 36
102, 20, 37
103, 20, 39
104, 20, 41
105, 20, 43
106, 20, 55
107, 20, 56
108, 21, 16
109, 21, 43
110, 21, 51
111, 21, 53
112, 21, 54
113, 22, 17
114, 22, 19
115, 22, 4
116, 22, 30
117, 22, 41
118, 23, 29
119, 23, 43
120, 23, 50
121, 23, 51
122, 23, 53
123, 23, 54
124, 24, 43
125, 24, 50
126, 24, 51
127, 24, 54
128, 25, 22
129, 25, 39
130, 25, 43
131, 26, 30
132, 26, 43
133, 26, 47
134, 26, 50
135, 26, 51
136, 26, 54
137, 27, 11
138, 27, 31
139, 27, 35
140, 27, 37
141, 27, 43
142, 27, 45
143, 27, 50
144, 27, 53
145, 28, 32
146, 29, 18
147, 29, 27
148, 29, 31
149, 29, 35
150, 29, 37
151, 29, 39
152, 29, 43
153, 29, 50
154, 30, 16
155, 30, 1
156, 30, 17
157, 31, 3
158, 31, 29
159, 31, 35
160, 31, 43
161, 31, 44
162, 31, 45
163, 31, 50
164, 31, 51
165, 31, 53
166, 32, 4
167, 33, 0
168, 33, 4
169, 33, 17
170, 33, 19
171, 33, 21
172, 33, 40
173, 34, 27
174, 34, 31
175, 34, 45
176, 35, 20
177, 35, 22
178, 35, 37
179, 35, 43
180, 35, 55
181, 36, 27
182, 36, 20
183, 36, 37
184, 36, 41
185, 36, 43
186, 36, 50
187, 36, 52
188, 36, 55
189, 37, 34
190, 37, 41
191, 37, 42
192, 37, 43
193, 37, 52
194, 37, 55
195, 38, 39
196, 38, 41
197, 38, 52
198, 39, 37
199, 39, 41
200, 40, 17
201, 40, 38
202, 41, 36
203, 41, 37
204, 41, 14
205, 41, 42
206, 41, 49
207, 42, 35
208, 42, 22
209, 42, 39
210, 42, 55
211, 43, 20
212, 43, 6
213, 44, 8
214, 44, 45
215, 44, 50
216, 44, 51
217, 44, 53
218, 45, 24
219, 45, 0
220, 45, 27
221, 45, 53
222, 45, 54
223, 46, 51
224, 47, 16
225, 47, 10
226, 47, 19
227, 49, 41
228, 49, 43
229, 49, 20
230, 49, 14
231, 49, 52
232, 50, 37
233, 50, 7
234, 50, 39
235, 50, 43
236, 50, 45
237, 50, 22
238, 50, 27
239, 50, 31
240, 50, 51
241, 51, 37
242, 51, 43
243, 51, 46
244, 51, 18
245, 51, 50
246, 51, 31
247, 52, 36
248, 52, 37
249, 52, 41
250, 52, 14
251, 52, 49
252, 53, 35
253, 53, 37
254, 53, 43
255, 53, 26
256, 53, 27
257, 53, 31
258, 54, 35
259, 54, 44
260, 54, 50
261, 54, 53
262, 54, 21
263, 54, 24
264, 55, 37
265, 55, 39
266, 55, 43
267, 55, 18
268, 55, 20
269, 55, 22
270, 56, 36
271, 56, 37
272, 56, 14
