0, 0, 19
1, 1, 20
2, 2, 1
3, 2, 18
4, 2, 34
5, 3, 22
6, 3, 24
7, 4, 9
8, 4, 16
9, 4, 24
10, 4, 25
11, 6, 19
12, 7, 13
13, 8, 2
14, 8, 9
15, 8, 26
16, 9, 2
17, 10, 7
18, 11, 9
19, 11, 2
20, 13, 8
21, 14, 9
22, 14, 24
23, 14, 25
24, 16, 14
25, 16, 25
26, 16, 32
27, 17, 2
28, 18, 9
29, 18, 2
30, 19, 2
31, 19, 10
32, 20, 0
33, 20, 19
34, 21, 0
35, 21, 19
36, 22, 9
37, 22, 25
38, 23, 2
39, 24, 22
40, 24, 25
41, 25, 24
42, 26, 13
43, 27, 24
44, 27, 25
45, 28, 24
46, 31, 24
47, 31, 9
48, 31, 25
49, 32, 9
50, 33, 24
51, 33, 3
52, 34, 1
53, 34, 2
